Iteration,Best_Fitness
1,-120.35784993467746
2,-80.73255478289761
3,-106.78744934669314
4,-96.93809439996727
5,-97.10844567199513
6,-87.59127058788248
7,-100.02056247126026
8,-96.91087164590783
9,-87.59242109659303
10,-68.90132051510963
11,-102.99072883301847
12,-93.28768441464466
13,-73.0063067811342
14,-90.70416836202858
15,-97.22738568844407
16,-106.08921220592194
17,-102.29145830131776
18,-98.63235753053053
19,-84.9363407755252
20,-92.96591972293643
21,-100.11967626960246
22,-96.70096777576217
23,-14.776920063441645
24,-98.44993351482474
25,-66.61824249913818
26,-95.3153405089248
27,-86.51002842053677
28,-85.17112630628053
29,-100.94229420788004
30,-71.87831861883028
31,-77.27559818619604
32,-74.75957115833634
33,-74.38592311557113
34,-66.7822841427625
35,-39.977883465991866
36,-59.76759403466026
37,-32.878505672828545
38,-44.16953898534534
39,-57.78191976467555
40,-34.35513726987985
41,6.910848599803742
42,-45.33499866275589
43,-45.87726608872249
44,-35.75798717579762
45,-33.00753714474828
46,-42.83398862356871
47,-41.244047435060715
48,-26.449060203796982
49,-15.228072942434519
50,-8.479489804066644
51,-19.570406660608118
52,-41.33082949777487
53,-25.057368032660367
54,-28.93564170142031
55,-47.70874383546645
56,-47.14424877730754
57,-11.326951990114495
58,-33.12314493869987
59,-27.237241143407868
60,-38.215394277082886
61,-29.233650028990468
62,-39.6004386722815
63,-21.7781485850741
64,-49.468101722883276
65,-30.02283577058039
66,-31.85100397835864
67,-0.1255633447678896
68,-8.340302761173405
69,-47.0367733925565
70,-32.711187889319085
71,-31.086709714425417
72,-29.0465079865861
73,-35.77879179367831
74,-38.61595345958243
75,-36.40279664334132
76,-31.63233450745097
77,57.191243542303724
78,-15.309653444721395
79,-12.412583640115319
80,-3.534431178995203
81,-32.90314407999498
82,40.03193824104495
83,-5.0194377049040835
84,-25.025251798407407
85,-31.96857964951834
86,-23.562374681944345
87,-19.903382843688558
88,-28.577058274644408
89,-22.476325399517897
90,-12.558017875871375
91,19.908068091719343
92,-17.723564091689756
93,-32.146958803577135
94,-18.899768806551954
95,-12.379549717222712
