Iteration,Best_Fitness
1,-108.04541709568937
2,-86.41456322878378
3,-107.00918583712048
4,-92.0215839552541
5,-89.35110126924984
6,-86.49681345250777
7,-100.22181404285297
8,-107.51876186308127
9,-98.27157542380992
10,-105.7543821258422
11,-75.16120850896854
12,-105.51318327923059
13,-91.40180945364713
14,-97.90828883170914
15,-104.32908219529982
16,-98.76261688369894
17,-97.27213899393534
18,-80.05614048702435
19,-100.1007876987882
20,-90.39119028228524
21,-99.10959951440717
22,-91.25329158978258
23,-88.94009722677012
24,-94.64452254005914
25,-71.04138511403633
26,-81.10164809743144
27,-78.83261610519376
28,-71.47113459823609
29,-76.52000418749583
30,-58.8226017530121
31,-66.07020679278095
32,-58.98176742163089
33,-72.69944454782652
34,-72.0112128201123
35,-56.43289081910651
36,-70.1111407172329
37,-52.33583299444008
38,-41.26878011862899
39,-54.11690598501914
40,-62.79983891365996
41,-25.596709946334347
42,-16.007978562193646
43,-33.59515923943118
44,-37.82078507677306
45,-40.35719518759929
46,-26.295551599152542
47,-54.79384896099183
48,-33.56433856382051
49,-30.013871932830217
50,-50.826613581511275
51,-22.799576663740304
52,-37.34603708925715
53,-39.89882792812618
54,-40.03449738254209
55,-26.76600321122813
56,-45.54062231351078
57,-15.22278295143306
58,-27.307609844860462
59,-44.37418276041999
60,-35.55638752996355
61,-46.88352953809809
62,-18.406899690395672
63,-45.76810394845096
64,-38.359693678792624
65,-26.86931747912313
66,-32.27440191961856
67,-23.1828174150289
68,-20.121557928304405
69,-39.74090520523212
70,-34.973288142514576
71,-29.904516926382268
72,-30.692651032358924
73,-35.851469604488486
74,1.7038643720371014
75,-35.14682298738686
76,-36.80920463662314
77,-28.598546938246848
78,-24.30915342300822
79,-20.260345703293687
80,-10.868187965874878
81,-28.003082376897318
82,-24.567457862800207
83,-36.06647338088193
84,-13.429154539003576
85,-17.83283512438401
86,-22.120839386154017
87,-30.021519556864035
88,1.8835715420944852
89,-4.459266192268435
90,-27.30849089412471
91,-20.430522691251745
92,-1.380647632091663
93,-17.996420453312687
94,-10.948771408452663
95,24.174416887139536
96,-8.466846096775699
97,-22.334866096250426
98,-14.424562418364243
99,-31.927670621055903
100,-9.710921327349961
101,-4.636233438928599
102,-15.931041994215827
103,14.802284021963942
104,5.9991313661491175
105,13.189252149247253
106,-16.07720800928584
107,11.16073131072481
108,1.7224902901515164
109,-18.70348069110806
110,-14.830566920900742
111,11.355517432679347
112,21.904626969073494
113,1.4649002214292124
114,-27.032995536646684
115,-13.667350895236348
116,23.88335823517012
117,-3.1076820366725757
118,18.892861958655192
119,1.8841299979787636
120,32.25660402665544
121,56.332270213135516
122,16.60396111211464
123,44.07683389783415
124,28.53150627093425
125,25.42261412208787
126,65.28033248142503
127,17.58751523827261
128,13.626715127570824
129,15.276393873133731
130,37.097680602440064
131,34.45962884833862
132,21.5159954126935
133,17.27379396760633
134,11.082647298277438
135,28.20730177490279
136,53.45691615817655
137,16.192705733707506
138,33.8949072825231
139,46.84019148819733
140,18.10297124075699
141,31.606059577361542
142,22.07896567624359
143,64.23992921995874
144,15.197252760889853
145,34.18035951817819
146,20.927862369567798
147,80.11385766279793
148,36.408952432708496
149,35.467468470571795
150,20.32212537401454
151,9.656960094477366
152,38.02795178627217
153,29.096195974140603
154,73.7237471891239
155,46.59256989699418
156,55.526654038082576
157,27.073851384971782
158,21.71289578678009
159,56.33517145220835
160,24.95111170089641
161,68.71688425439372
162,85.18933928008218
163,22.668396159429502
164,23.898031365434246
165,59.91101333629352
166,41.69600268168817
167,49.879094617811155
168,68.9022510288011
169,70.5408306223881
170,30.36180325434136
171,62.09305445475803
172,32.25180576630447
173,43.33088829602519
174,68.2793254933521
175,54.37082806823368
176,38.702323688398586
177,74.13732387568034
178,50.81105812075304
179,52.109085774859196
180,61.043691492082054
181,140.60686176084226
182,37.608295608096846
183,66.2903017863232
184,118.87411572991235
185,67.84415714259217
186,63.38651710595904
187,73.89123928904236
188,38.6955339923317
189,36.10607969590623
190,81.4147632538218
191,33.766315823465234
192,23.22339899850696
193,46.67246022518235
194,52.173076770662476
195,73.17910914479819
196,93.97476577065211
197,91.26601110811983
198,105.87655864374524
199,124.07294455758733
200,77.75518599948911
201,63.68902417423067
202,85.23630765943476
203,38.72728893081656
204,70.62585674796162
205,68.38694525695004
206,18.29065124008257
207,22.359418013320532
208,64.22446033469603
209,77.81933072023378
210,78.64300724842477
211,123.14028647184959
212,47.826918623306106
213,79.29231367668551
214,47.524446198973756
215,66.42136107882096
216,67.94924788505541
217,117.32575664776053
218,110.1334986651051
219,51.51207291235314
220,72.4463654129923
221,93.34430989859018
222,103.72167936942242
223,59.350504589238994
224,88.43158724558671
225,57.995368220832326
226,102.22874080176811
227,110.3373634045981
228,71.82125530351746
229,88.61942479451558
230,145.30090896086634
231,97.61507447888633
232,79.25238927908921
233,82.09059569194594
234,106.18988933073965
235,90.57265141995708
236,81.85510854408705
237,93.01935854610025
238,119.0290329765299
239,57.03699817391962
240,87.0586796815884
241,92.23891385629716
242,62.90581067641578
243,103.7856238400412
244,107.6360474032239
245,100.34757888737268
246,83.384741809415
247,167.03016931028077
248,96.30541226594154
249,71.90648734778104
250,147.7820207351251
251,106.47041423051591
252,159.80547180071244
253,86.79298769499346
254,197.5686948687005
255,75.82078503223599
256,96.43740671028652
257,101.09338675835079
258,104.634489770847
259,111.99726994753499
260,104.77575291486873
261,94.05926978727669
262,133.46460889805275
263,79.62360051414706
264,100.58734479130952
265,142.25214510843966
266,101.69638415433174
267,96.27425451396536
268,128.76761036902747
269,138.88409713884766
270,93.62492080570566
271,99.751043371727
272,95.20597562724541
273,136.19943963526526
274,73.41166024562787
275,114.39657956892779
276,145.5640727472035
277,113.00046966786833
278,109.27816072987699
279,90.01528181817532
280,146.88367856755278
281,87.12415751111061
282,115.27535765803245
