Iteration,Best_Fitness
1,57.927572527907216
2,109.63367597800661
3,6.296386571461184
4,178.68463872639313
5,19.52735905630854
6,51.2472371161557
7,206.395708653767
8,43.57998909118493
9,240.55705816615648
10,242.09333760454686
11,215.5334022272025
12,202.9267459594362
13,189.01119169273815
14,53.628914049206685
15,157.4164595798204
16,268.9759291999465
17,230.2548083411919
18,243.140565875133
19,260.19969948942105
20,281.6261862153558
21,278.4315660193055
22,266.6126693645481
23,270.4409230802109
24,271.00266272988915
25,274.3731936110454
26,282.0071475541344
27,291.96712511433446
28,292.47837899041184
29,282.3720165324217
30,277.8266838802493
31,288.3653894532787
32,278.8958748728274
33,263.01695326112673
34,283.2123475519721
35,275.350498174325
36,285.9539655257885
37,283.30239663419036
38,297.5127620309594
39,287.9009157498732
40,289.775781461391
41,284.7790516008291
42,285.56005332628695
43,287.8925062942586
44,284.76903172272745
45,289.7736779845096
46,290.60661805935433
47,300.20695417174517
48,293.4486052395828
49,308.25895765505055
50,301.17843034769135
51,290.5819632047845
52,291.5681099131468
53,284.6934865268171
54,293.11588161646716
55,291.19995915614686
56,293.72862089937047
57,288.19894809713
58,283.71130248533467
59,286.7981124564228
60,301.87368791526745
61,285.180898330427
62,294.6773295808141
63,296.7728180868271
64,307.47738565616595
65,294.8571528141315
66,300.0875236319539
67,290.8997424632737
68,294.47050830886656
69,297.4361020608012
70,295.963905576854
71,316.8178182140912
72,297.2391194098882
73,294.3895007881356
74,305.96940511764257
75,285.8769388614856
76,285.91950686252886
77,292.43820111914636
78,289.00283503487026
79,298.5161853633522
80,294.19789935800986
81,287.60986625192663
82,310.31228130930083
83,318.11073600757885
84,310.6377569520902
85,304.3722601744763
86,297.1505171856877
87,290.6626128960434
88,310.4173487049093
89,306.6366195495631
90,301.0297573195518
91,299.7146665114907
92,291.36071749152916
93,315.61519423494707
94,318.0718789203008
95,288.3733443443901
96,306.8089855795074
97,319.97985445297087
98,326.71552354690675
99,301.1394366438702
100,308.60359621534144
101,317.90516064334474
102,302.6910962341627
103,316.7900193125372
104,329.5386687921666
105,318.21413979543047
106,300.7110797531166
